종목,월,방향,손절선(%),시기,신호,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),손익분기 대비(%p),이길 때(%),질 때(%),질 때 표본,최고(%),최악(%),보유 중 최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,시기 시작일,시기 종료일,1차 판정
코스피200 지수,5,위,손절불가,앞 절반,18,2.52,0.14,55.56,0.864,53.65,1.91,3.4,-3.93,8,5.41,-11.07,-16.73,4.62,0,0,8.39,예,1990-05-19,2007-05-18,판정 안 함
코스피200 지수,5,위,손절불가,뒤 절반,19,29.43,1.55,63.16,1.894,34.55,28.61,3.54,-1.87,7,19.31,-4.14,-5.47,4.81,0,0,7.47,예,2008-05-20,2026-05-20,판정 안 함
코스피200 지수,5,위,손절불가,최근 10년,10,25.77,2.58,70.0,2.283,30.46,39.54,4.53,-1.98,3,19.31,-4.14,-4.14,6.28,0,0,7.6,예,2017-05-19,2026-05-20,판정 안 함
코스피200 지수,5,위,손절불가,최근 5년,5,21.76,4.35,80.0,1.564,39.0,41.0,6.48,-4.14,1,19.31,-4.14,-4.14,8.84,0,0,7.4,아니오,2022-05-20,2026-05-20,판정 안 함
코스피200 지수,6,아래,손절불가,전체,37,11.6,0.31,54.05,1.106,47.49,6.56,2.51,-2.27,17,6.08,-6.38,-8.6,3.03,0,0,7.43,예,1990-06-20,2026-06-19,판정 안 함
코스피200 지수,6,아래,손절불가,앞 절반,18,4.77,0.26,55.56,0.954,51.18,4.38,2.96,-3.1,8,5.32,-6.38,-8.6,3.69,0,0,7.83,예,1990-06-20,2007-06-20,판정 안 함
코스피200 지수,6,아래,손절불가,뒤 절반,19,6.84,0.36,52.63,1.347,42.61,10.02,2.06,-1.53,9,6.08,-4.08,-4.08,2.34,0,0,7.05,예,2008-06-20,2026-06-19,판정 안 함
코스피200 지수,6,아래,손절불가,최근 10년,10,8.02,0.8,60.0,1.856,35.02,24.98,2.09,-1.12,4,6.08,-2.29,-3.5,2.31,0,0,7.1,예,2017-06-20,2026-06-19,판정 안 함
코스피200 지수,6,아래,손절불가,최근 5년,5,7.64,1.53,80.0,1.085,47.97,32.03,2.48,-2.29,1,6.08,-2.29,-3.5,3.07,0,0,7.0,아니오,2022-06-20,2026-06-19,판정 안 함
코스피200 지수,6,위,손절불가,전체,37,-11.6,-0.31,45.95,0.904,52.51,-6.56,2.27,-2.51,20,6.38,-6.08,-9.44,3.03,0,0,7.43,예,1990-06-20,2026-06-19,판정 안 함
코스피200 지수,6,위,손절불가,앞 절반,18,-4.77,-0.26,44.44,1.048,48.82,-4.38,3.1,-2.96,10,6.38,-5.32,-9.09,3.69,0,0,7.83,예,1990-06-20,2007-06-20,판정 안 함
코스피200 지수,6,위,손절불가,뒤 절반,19,-6.84,-0.36,47.37,0.743,57.39,-10.02,1.53,-2.06,10,4.08,-6.08,-9.44,2.34,0,0,7.05,예,2008-06-20,2026-06-19,판정 안 함
코스피200 지수,6,위,손절불가,최근 10년,10,-8.02,-0.8,40.0,0.539,64.98,-24.98,1.12,-2.09,6,2.29,-6.08,-9.44,2.31,0,0,7.1,예,2017-06-20,2026-06-19,판정 안 함
코스피200 지수,6,위,손절불가,최근 5년,5,-7.64,-1.53,20.0,0.922,52.03,-32.03,2.29,-2.48,4,2.29,-6.08,-9.44,3.07,0,0,7.0,아니오,2022-06-20,2026-06-19,판정 안 함
코스피200 지수,7,아래,손절불가,전체,37,-1.17,-0.03,48.65,1.031,49.23,-0.58,2.79,-2.7,19,9.79,-9.15,-12.42,3.61,0,0,8.24,예,1990-07-20,2026-07-20,판정 안 함
코스피200 지수,7,아래,손절불가,앞 절반,18,21.47,1.19,66.67,1.068,48.35,18.32,3.36,-3.15,6,9.79,-9.15,-12.42,4.23,0,0,8.5,예,1990-07-20,2007-07-20,판정 안 함
코스피200 지수,7,아래,손절불가,뒤 절반,19,-22.64,-1.19,31.58,0.657,60.34,-28.76,1.64,-2.5,13,2.99,-5.84,-9.09,2.49,0,0,8.0,예,2008-07-18,2026-07-20,판정 안 함
코스피200 지수,7,아래,손절불가,최근 10년,10,-2.85,-0.28,40.0,1.059,48.57,-8.57,1.71,-1.61,6,2.99,-2.93,-9.09,1.94,0,0,7.9,예,2017-07-20,2026-07-20,판정 안 함
코스피200 지수,7,아래,손절불가,최근 5년,5,-5.7,-1.14,20.0,0.538,65.03,-45.03,0.89,-1.65,4,0.89,-2.31,-9.09,1.21,0,0,8.0,아니오,2022-07-20,2026-07-20,판정 안 함
코스피200 지수,7,위,손절불가,전체,37,1.17,0.03,51.35,0.97,50.77,0.58,2.7,-2.79,18,9.15,-9.79,-15.5,3.61,0,0,8.24,예,1990-07-20,2026-07-20,판정 안 함
코스피200 지수,7,위,손절불가,앞 절반,18,-21.47,-1.19,33.33,0.936,51.65,-18.32,3.15,-3.36,12,9.15,-9.79,-12.24,4.23,0,0,8.5,예,1990-07-20,2007-07-20,판정 안 함
코스피200 지수,7,위,손절불가,뒤 절반,19,22.64,1.19,68.42,1.521,39.66,28.76,2.5,-1.64,6,5.84,-2.99,-15.5,2.49,0,0,8.0,예,2008-07-18,2026-07-20,판정 안 함
코스피200 지수,7,위,손절불가,최근 10년,10,2.85,0.28,60.0,0.945,51.43,8.57,1.61,-1.71,4,2.93,-2.99,-15.5,1.94,0,0,7.9,예,2017-07-20,2026-07-20,판정 안 함
코스피200 지수,7,위,손절불가,최근 5년,5,5.7,1.14,80.0,1.859,34.97,45.03,1.65,-0.89,1,2.31,-0.89,-15.5,1.21,0,0,8.0,아니오,2022-07-20,2026-07-20,판정 안 함
코스피200 지수,8,아래,손절불가,전체,37,-24.5,-0.66,51.35,0.617,61.86,-10.51,2.4,-3.9,18,8.71,-19.37,-19.37,4.85,0,0,8.24,예,1990-08-20,2026-08-20,판정 안 함
코스피200 지수,8,아래,손절불가,앞 절반,18,-11.54,-0.64,55.56,0.585,63.11,-7.55,3.13,-5.36,8,8.71,-19.37,-19.37,6.36,0,0,8.78,예,1990-08-20,2007-08-20,판정 안 함
코스피200 지수,8,아래,손절불가,뒤 절반,19,-12.96,-0.68,47.37,0.583,63.16,-15.79,1.59,-2.73,10,4.25,-8.6,-8.6,2.97,0,0,7.74,예,2008-08-20,2026-08-20,판정 안 함
코스피200 지수,8,아래,손절불가,최근 10년,10,-10.31,-1.03,40.0,0.425,70.2,-30.2,1.02,-2.4,6,2.02,-4.74,-4.74,2.19,0,0,7.9,예,2017-08-18,2026-08-20,판정 안 함
코스피200 지수,8,아래,손절불가,최근 5년,5,0.58,0.12,60.0,0.779,56.22,3.78,1.34,-1.73,2,2.02,-1.93,-2.41,1.74,0,0,7.8,아니오,2022-08-19,2026-08-20,판정 안 함
코스피200 지수,8,위,손절불가,전체,37,24.5,0.66,48.65,1.622,38.14,10.51,3.9,-2.4,19,19.37,-8.71,-8.71,4.85,0,0,8.24,예,1990-08-20,2026-08-20,판정 안 함
코스피200 지수,8,위,손절불가,앞 절반,18,11.54,0.64,44.44,1.711,36.89,7.55,5.36,-3.13,10,19.37,-8.71,-8.71,6.36,0,0,8.78,예,1990-08-20,2007-08-20,판정 안 함
코스피200 지수,8,위,손절불가,뒤 절반,19,12.96,0.68,52.63,1.714,36.84,15.79,2.73,-1.59,9,8.6,-4.25,-4.36,2.97,0,0,7.74,예,2008-08-20,2026-08-20,판정 안 함
코스피200 지수,8,위,손절불가,최근 10년,10,10.31,1.03,60.0,2.355,29.8,30.2,2.4,-1.02,4,4.74,-2.02,-3.19,2.19,0,0,7.9,예,2017-08-18,2026-08-20,판정 안 함
코스피200 지수,8,위,손절불가,최근 5년,5,-0.58,-0.12,40.0,1.284,43.78,-3.78,1.73,-1.34,3,1.93,-2.02,-3.19,1.74,0,0,7.8,아니오,2022-08-19,2026-08-20,판정 안 함
코스피200 지수,9,아래,손절불가,전체,36,40.02,1.11,55.56,1.905,34.42,21.14,3.45,-1.81,16,11.0,-4.62,-5.2,3.56,0,0,6.67,예,1990-09-20,2025-09-19,판정 안 함
코스피200 지수,9,아래,손절불가,앞 절반,18,15.19,0.84,44.44,2.004,33.29,11.15,5.05,-2.52,10,11.0,-4.62,-5.2,4.54,0,0,6.89,예,1990-09-20,2007-09-20,판정 안 함
코스피200 지수,9,아래,손절불가,뒤 절반,18,24.83,1.38,66.67,3.788,20.88,45.79,2.38,-0.63,6,8.51,-1.96,-3.41,2.3,0,0,6.44,예,2008-09-19,2025-09-19,판정 안 함
코스피200 지수,9,아래,손절불가,최근 10년,10,17.39,1.74,60.0,7.99,11.12,48.88,3.16,-0.4,4,8.51,-0.94,-3.41,2.81,0,0,6.3,예,2016-09-20,2025-09-19,판정 안 함
코스피200 지수,9,아래,손절불가,최근 5년,5,14.27,2.85,60.0,63.798,1.54,58.46,4.81,-0.08,2,8.51,-0.12,-3.41,3.53,0,0,6.4,아니오,2021-09-17,2025-09-19,판정 안 함
코스피200 지수,9,위,손절불가,전체,36,-40.02,-1.11,44.44,0.525,65.58,-21.14,1.81,-3.45,20,4.62,-11.0,-11.0,3.56,0,0,6.67,예,1990-09-20,2025-09-19,판정 안 함
코스피200 지수,9,위,손절불가,앞 절반,18,-15.19,-0.84,55.56,0.499,66.71,-11.15,2.52,-5.05,8,4.62,-11.0,-11.0,4.54,0,0,6.89,예,1990-09-20,2007-09-20,판정 안 함
코스피200 지수,9,위,손절불가,뒤 절반,18,-24.83,-1.38,33.33,0.264,79.12,-45.79,0.63,-2.38,12,1.96,-8.51,-9.83,2.3,0,0,6.44,예,2008-09-19,2025-09-19,판정 안 함
코스피200 지수,9,위,손절불가,최근 10년,10,-17.39,-1.74,40.0,0.125,88.88,-48.88,0.4,-3.16,6,0.94,-8.51,-8.51,2.81,0,0,6.3,예,2016-09-20,2025-09-19,판정 안 함
코스피200 지수,9,위,손절불가,최근 5년,5,-14.27,-2.85,40.0,0.016,98.46,-58.46,0.08,-4.81,3,0.12,-8.51,-8.51,3.53,0,0,6.4,아니오,2021-09-17,2025-09-19,판정 안 함
코스피200 지수,10,아래,손절불가,전체,36,12.84,0.36,52.78,1.098,47.66,5.12,3.65,-3.32,17,15.31,-14.2,-14.2,5.05,0,0,8.28,예,1990-10-20,2025-10-20,판정 안 함
코스피200 지수,10,아래,손절불가,앞 절반,18,4.97,0.28,50.0,1.154,46.43,3.57,4.14,-3.59,9,15.31,-14.2,-14.2,6.08,0,0,8.61,예,1990-10-20,2007-10-19,판정 안 함
코스피200 지수,10,아래,손절불가,뒤 절반,18,7.88,0.44,55.56,1.061,48.53,7.03,3.21,-3.02,8,6.36,-8.25,-8.25,3.94,0,0,7.94,예,2008-10-20,2025-10-20,판정 안 함
코스피200 지수,10,아래,손절불가,최근 10년,10,2.8,0.28,60.0,0.795,55.73,4.27,2.9,-3.65,4,5.25,-8.25,-8.25,4.1,0,0,7.8,예,2016-10-20,2025-10-20,판정 안 함
코스피200 지수,10,아래,손절불가,최근 5년,5,-5.05,-1.01,60.0,0.387,72.08,-12.08,2.33,-6.03,2,3.9,-8.25,-8.25,4.94,0,0,7.8,아니오,2021-10-20,2025-10-20,판정 안 함
코스피200 지수,10,위,손절불가,전체,36,-12.84,-0.36,47.22,0.91,52.34,-5.12,3.32,-3.65,19,14.2,-15.31,-21.74,5.05,0,0,8.28,예,1990-10-20,2025-10-20,판정 안 함
코스피200 지수,10,위,손절불가,앞 절반,18,-4.97,-0.28,50.0,0.867,53.57,-3.57,3.59,-4.14,9,14.2,-15.31,-15.31,6.08,0,0,8.61,예,1990-10-20,2007-10-19,판정 안 함
코스피200 지수,10,위,손절불가,뒤 절반,18,-7.88,-0.44,44.44,0.943,51.47,-7.03,3.02,-3.21,10,8.25,-6.36,-21.74,3.94,0,0,7.94,예,2008-10-20,2025-10-20,판정 안 함
코스피200 지수,10,위,손절불가,최근 10년,10,-2.8,-0.28,40.0,1.259,44.27,-4.27,3.65,-2.9,6,8.25,-5.25,-6.62,4.1,0,0,7.8,예,2016-10-20,2025-10-20,판정 안 함
코스피200 지수,10,위,손절불가,최근 5년,5,5.05,1.01,40.0,2.582,27.92,12.08,6.03,-2.33,3,8.25,-3.9,-3.9,4.94,0,0,7.8,아니오,2021-10-20,2025-10-20,판정 안 함
코스피200 지수,11,아래,손절불가,전체,36,-5.34,-0.15,44.44,1.135,46.83,-2.39,3.31,-2.91,20,14.27,-13.86,-13.86,4.39,0,0,7.5,예,1990-11-20,2025-11-20,판정 안 함
코스피200 지수,11,아래,손절불가,앞 절반,18,4.3,0.24,44.44,1.422,41.29,3.15,4.45,-3.13,10,14.27,-6.42,-9.86,4.89,0,0,7.94,예,1990-11-20,2007-11-20,판정 안 함
코스피200 지수,11,아래,손절불가,뒤 절반,18,-9.63,-0.54,44.44,0.803,55.45,-11.01,2.17,-2.7,10,4.43,-13.86,-13.86,3.92,0,0,7.06,예,2008-11-20,2025-11-20,판정 안 함
코스피200 지수,11,아래,손절불가,최근 10년,10,5.2,0.52,50.0,1.819,35.48,14.52,2.31,-1.27,5,4.43,-1.62,-3.56,2.08,0,0,7.3,예,2016-11-18,2025-11-20,판정 안 함
코스피200 지수,11,아래,손절불가,최근 5년,5,4.84,0.97,60.0,1.968,33.7,26.3,2.44,-1.24,2,4.43,-1.26,-2.31,2.37,0,0,7.2,아니오,2021-11-19,2025-11-20,판정 안 함
코스피200 지수,11,위,손절불가,전체,36,5.34,0.15,55.56,0.881,53.17,2.39,2.91,-3.31,16,13.86,-14.27,-14.27,4.39,0,0,7.5,예,1990-11-20,2025-11-20,판정 안 함
코스피200 지수,11,위,손절불가,앞 절반,18,-4.3,-0.24,55.56,0.703,58.71,-3.15,3.13,-4.45,8,6.42,-14.27,-14.27,4.89,0,0,7.94,예,1990-11-20,2007-11-20,판정 안 함
코스피200 지수,11,위,손절불가,뒤 절반,18,9.63,0.54,55.56,1.245,44.55,11.01,2.7,-2.17,8,13.86,-4.43,-6.1,3.92,0,0,7.06,예,2008-11-20,2025-11-20,판정 안 함
코스피200 지수,11,위,손절불가,최근 10년,10,-5.2,-0.52,50.0,0.55,64.52,-14.52,1.27,-2.31,5,1.62,-4.43,-4.43,2.08,0,0,7.3,예,2016-11-18,2025-11-20,판정 안 함
코스피200 지수,11,위,손절불가,최근 5년,5,-4.84,-0.97,40.0,0.508,66.3,-26.3,1.24,-2.44,3,1.26,-4.43,-4.43,2.37,0,0,7.2,아니오,2021-11-19,2025-11-20,판정 안 함
코스피200 지수,12,아래,손절불가,전체,36,-14.42,-0.4,44.44,0.929,51.83,-7.39,2.61,-2.81,20,11.44,-8.8,-8.8,3.92,0,0,5.78,예,1990-12-20,2025-12-19,판정 안 함
코스피200 지수,12,아래,손절불가,앞 절반,18,-8.63,-0.48,33.33,1.508,39.87,-6.54,4.41,-2.92,12,11.44,-8.8,-8.8,4.88,0,0,5.39,예,1990-12-20,2007-12-20,판정 안 함
코스피200 지수,12,아래,손절불가,뒤 절반,18,-5.79,-0.32,55.56,0.581,63.27,-7.71,1.53,-2.64,8,5.03,-6.61,-6.61,2.79,0,0,6.17,예,2008-12-19,2025-12-19,판정 안 함
코스피200 지수,12,아래,손절불가,최근 10년,10,-7.04,-0.7,60.0,0.34,74.65,-14.65,1.22,-3.59,4,4.26,-6.61,-6.61,3.12,0,0,6.0,예,2016-12-20,2025-12-19,판정 안 함
코스피200 지수,12,아래,손절불가,최근 5년,5,-5.16,-1.03,40.0,0.692,59.11,-19.11,2.21,-3.19,3,4.26,-6.61,-6.61,3.94,0,0,6.2,아니오,2021-12-20,2025-12-19,판정 안 함
코스피200 지수,12,위,손절불가,전체,36,14.42,0.4,55.56,1.076,48.17,7.39,2.81,-2.61,16,8.8,-11.44,-13.0,3.92,0,0,5.78,예,1990-12-20,2025-12-19,판정 안 함
코스피200 지수,12,위,손절불가,앞 절반,18,8.63,0.48,66.67,0.663,60.13,6.54,2.92,-4.41,6,8.8,-11.44,-13.0,4.88,0,0,5.39,예,1990-12-20,2007-12-20,판정 안 함
코스피200 지수,12,위,손절불가,뒤 절반,18,5.79,0.32,44.44,1.722,36.73,7.71,2.64,-1.53,10,6.61,-5.03,-5.44,2.79,0,0,6.17,예,2008-12-19,2025-12-19,판정 안 함
코스피200 지수,12,위,손절불가,최근 10년,10,7.04,0.7,40.0,2.944,25.35,14.65,3.59,-1.22,6,6.61,-4.26,-4.26,3.12,0,0,6.0,예,2016-12-20,2025-12-19,판정 안 함
코스피200 지수,12,위,손절불가,최근 5년,5,5.16,1.03,60.0,1.446,40.89,19.11,3.19,-2.21,2,6.61,-4.26,-4.26,3.94,0,0,6.2,아니오,2021-12-20,2025-12-19,판정 안 함
