대상,월,표본,방향,적중률(%),방향 기대값(%),합산 수익률(%),기준선(%),기준선 대비 차이(%p),우연확률,시기 구간,가장 약한 시기(%),1차 판정,뒷받침,미충족
2203,4,17,아래,70.59,1.24,21.03,59.48,11.11,0.4366,1,70.0,후보,2/3,우연확률
2203,5,17,위,82.35,1.79,30.38,64.35,18.0,0.1259,1,80.0,후보,2/3,우연확률
2203,6,17,아래,58.82,0.96,16.31,48.94,9.89,0.4515,1,70.0,제외,1/3,차이 · 우연확률
2203,7,17,아래,70.59,1.75,29.76,60.45,10.14,0.4715,1,70.0,후보,2/3,우연확률
2203,8,17,위,64.71,1.77,30.1,60.06,4.65,0.7962,1,70.0,후보,1/3,차이 · 우연확률
2203,9,16,아래,75.0,2.23,35.69,57.63,17.37,0.1868,1,80.0,후보,2/3,우연확률
2203,10,16,위,56.25,-0.2,-3.13,47.84,8.41,0.6324,1,50.0,제외,0/3,차이 · 우연확률 · 시기
2203,11,16,위,50.0,-0.98,-15.72,48.62,1.38,1.0,1,40.0,제외,0/3,차이 · 우연확률 · 시기
2203,12,16,위,87.5,2.67,42.8,70.65,16.85,0.1598,1,80.0,후보,2/3,우연확률
2001,1,30,위,56.67,0.15,4.46,50.25,6.41,0.5984,3,50.0,제외,0/3,차이 · 우연확률 · 시기
2001,2,30,아래,56.67,1.01,30.33,47.42,9.25,0.3447,3,53.33,제외,0/3,차이 · 우연확률 · 시기
2001,3,30,아래,43.33,-0.71,-21.3,39.48,3.85,0.7013,3,40.0,제외,0/3,차이 · 우연확률 · 시기
2001,4,30,아래,66.67,1.25,37.37,53.38,13.29,0.1988,3,60.0,후보,2/3,우연확률
2001,5,30,위,70.0,1.28,38.42,58.19,11.81,0.2078,3,60.0,후보,2/3,우연확률
2001,6,30,아래,66.67,0.9,27.1,55.67,11.0,0.2547,3,60.0,후보,2/3,우연확률
2001,7,31,아래,58.06,1.72,53.33,57.21,0.86,1.0,3,53.33,제외,0/3,차이 · 우연확률 · 시기
2001,8,31,아래,48.39,-0.91,-28.15,47.58,0.81,1.0,3,30.0,제외,0/3,차이 · 우연확률 · 시기
2001,9,30,아래,70.0,2.17,65.03,59.82,10.18,0.2777,3,66.67,후보,2/3,우연확률
2001,10,30,위,50.0,-1.2,-35.87,47.31,2.69,0.8621,3,40.0,제외,0/3,차이 · 우연확률 · 시기
2001,11,30,위,56.67,0.15,4.58,54.33,2.34,0.8781,3,40.0,제외,0/3,차이 · 우연확률 · 시기
2001,12,30,위,63.33,0.45,13.4,59.0,4.34,0.7243,3,33.33,후보,0/3,차이 · 우연확률 · 시기
