종목,청산 요일,기준선 종류,기준,구간,표본,관측 평균(%),관측 중앙값(%),무작위 하위5%(%),무작위 상위5%(%),평균 백분위,평균 우연확률,중앙값 백분위,중앙값 우연확률,관측 오른 비율(%),오른 비율 백분위,오른 비율 우연확률,관측 내린 비율(%),내린 비율 백분위,내린 비율 우연확률,비고
QQQ,금요일,같은 요일 주간 보유,close,-1,329,0.29,0.58,-0.03,0.49,63.6,0.7113,91.6,0.1848,57.75,77.9,0.4156,42.25,18.8,0.4486,
QQQ,금요일,같은 길이 단순 보유,close,4,78,0.58,0.71,-0.37,0.8,85.8,0.2937,84.9,0.3107,61.54,77.4,0.4416,38.46,17.8,0.4316,
QQQ,금요일,같은 길이 단순 보유,close,5,251,0.2,0.52,-0.12,0.6,37.2,0.7622,58.2,0.7882,56.57,37.5,0.8392,43.43,59.5,0.7932,
SPY,금요일,같은 요일 주간 보유,close,-1,402,0.18,0.25,0.01,0.36,43.8,0.9111,33.1,0.6933,54.48,21.3,0.4715,45.52,77.1,0.4436,
SPY,금요일,같은 길이 단순 보유,close,4,93,0.33,0.4,-0.19,0.53,78.5,0.4286,72.3,0.5504,60.22,66.0,0.6583,39.78,28.9,0.6673,
SPY,금요일,같은 길이 단순 보유,close,5,309,0.14,0.2,-0.02,0.43,30.5,0.6104,8.8,0.1848,52.75,2.6,0.0619,47.25,97.1,0.05,
DIA,금요일,같은 요일 주간 보유,close,-1,342,0.08,0.15,-0.02,0.34,25.0,0.4945,16.4,0.2537,53.51,23.0,0.4965,46.49,73.8,0.4965,
DIA,금요일,같은 길이 단순 보유,close,4,81,0.19,0.38,-0.25,0.55,58.7,0.8322,72.2,0.5345,60.49,73.3,0.5175,39.51,21.3,0.5055,
DIA,금요일,같은 길이 단순 보유,close,5,261,0.05,0.06,-0.07,0.39,21.9,0.4196,3.0,0.0569,51.34,3.1,0.0819,48.66,96.4,0.0739,
KODEX 200,금요일,같은 요일 주간 보유,close,-1,286,0.31,0.53,-0.04,0.52,66.1,0.6833,86.2,0.2897,59.79,92.3,0.1499,40.21,7.5,0.2228,
KODEX 200,금요일,같은 길이 단순 보유,close,3,5,0.68,0.29,,,,,,,80.0,,,20.0,,,표본 부족으로 검정 불가
KODEX 200,금요일,같은 길이 단순 보유,close,4,4,0.28,0.29,,,,,,,75.0,,,25.0,,,표본 부족으로 검정 불가
KODEX 200,금요일,같은 길이 단순 보유,close,5,42,-0.86,-0.28,-0.52,1.09,1.2,0.026,6.6,0.1299,47.62,8.4,0.2527,52.38,86.9,0.2408,
KODEX 200,금요일,같은 길이 단순 보유,close,6,235,0.51,0.66,-0.03,0.7,81.0,0.3966,91.0,0.1718,61.28,91.7,0.1489,38.72,8.0,0.1798,
KODEX 200,목요일,같은 요일 주간 보유,close,-1,286,0.27,0.51,-0.02,0.51,57.6,0.8432,74.6,0.4895,60.49,91.4,0.1738,39.16,8.2,0.2118,
KODEX 200,목요일,같은 길이 단순 보유,close,2,2,1.49,1.49,,,,,,,100.0,,,0.0,,,표본 부족으로 검정 불가
KODEX 200,목요일,같은 길이 단순 보유,close,3,6,-0.92,-0.12,,,,,,,50.0,,,50.0,,,표본 부족으로 검정 불가
KODEX 200,목요일,같은 길이 단순 보유,close,4,40,-0.48,0.33,-0.55,0.94,7.0,0.1459,53.6,0.8951,52.5,30.6,0.7562,47.5,60.0,0.7453,
KODEX 200,목요일,같은 길이 단순 보유,close,5,238,0.42,0.58,-0.08,0.59,75.3,0.4765,90.4,0.1708,61.76,95.6,0.0729,37.82,3.3,0.0859,
