종목,청산 요일,기준선 종류,기준,구간,표본,관측 평균(%),관측 중앙값(%),무작위 하위5%(%),무작위 상위5%(%),평균 백분위,평균 우연확률,중앙값 백분위,중앙값 우연확률,관측 오른 비율(%),오른 비율 백분위,오른 비율 우연확률,관측 내린 비율(%),내린 비율 백분위,내린 비율 우연확률,비고
QQQ,금요일,같은 요일 주간 보유,close,-1,330,0.29,0.58,-0.03,0.51,63.5,0.7323,88.3,0.2577,57.88,76.7,0.4565,42.12,20.1,0.4585,
QQQ,금요일,같은 길이 단순 보유,close,4,78,0.58,0.71,-0.36,0.75,88.5,0.2468,85.5,0.2967,61.54,78.2,0.4146,38.46,16.2,0.4166,
QQQ,금요일,같은 길이 단순 보유,close,5,252,0.2,0.52,-0.1,0.6,41.0,0.8152,56.9,0.8072,56.75,40.2,0.8851,43.25,57.1,0.8312,
SPY,금요일,같은 요일 주간 보유,close,-1,402,0.18,0.25,0.01,0.36,43.8,0.9111,33.1,0.6933,54.48,21.3,0.4715,45.52,77.1,0.4436,
SPY,금요일,같은 길이 단순 보유,close,4,93,0.33,0.4,-0.19,0.53,78.5,0.4286,72.3,0.5504,60.22,66.0,0.6583,39.78,28.9,0.6673,
SPY,금요일,같은 길이 단순 보유,close,5,309,0.14,0.2,-0.02,0.43,30.5,0.6104,8.8,0.1848,52.75,2.6,0.0619,47.25,97.1,0.05,
DIA,금요일,같은 요일 주간 보유,close,-1,342,0.08,0.15,-0.02,0.34,25.0,0.4945,16.4,0.2537,53.51,23.0,0.4965,46.49,73.8,0.4965,
DIA,금요일,같은 길이 단순 보유,close,4,81,0.19,0.38,-0.25,0.55,58.7,0.8322,72.2,0.5345,60.49,73.3,0.5175,39.51,21.3,0.5055,
DIA,금요일,같은 길이 단순 보유,close,5,261,0.05,0.06,-0.07,0.39,21.9,0.4196,3.0,0.0569,51.34,3.1,0.0819,48.66,96.4,0.0739,
KODEX 200,금요일,같은 요일 주간 보유,close,-1,286,0.31,0.53,-0.03,0.49,68.4,0.6344,88.9,0.2278,59.79,93.1,0.1309,40.21,6.5,0.1628,
KODEX 200,금요일,같은 길이 단순 보유,close,3,5,0.68,0.29,,,,,,,80.0,,,20.0,,,표본 부족으로 검정 불가
KODEX 200,금요일,같은 길이 단순 보유,close,4,4,0.28,0.29,,,,,,,75.0,,,25.0,,,표본 부족으로 검정 불가
KODEX 200,금요일,같은 길이 단순 보유,close,5,42,-0.86,-0.28,-0.54,1.05,1.0,0.02,8.8,0.1668,47.62,10.6,0.3746,52.38,83.0,0.2887,
KODEX 200,금요일,같은 길이 단순 보유,close,6,235,0.51,0.66,-0.07,0.7,78.5,0.4316,92.2,0.1568,61.28,91.8,0.1538,38.72,8.2,0.1878,
KODEX 200,목요일,같은 요일 주간 보유,close,-1,286,0.27,0.51,-0.02,0.5,57.1,0.8551,72.9,0.5115,60.49,91.4,0.1538,39.16,9.9,0.2108,
KODEX 200,목요일,같은 길이 단순 보유,close,2,2,1.49,1.49,,,,,,,100.0,,,0.0,,,표본 부족으로 검정 불가
KODEX 200,목요일,같은 길이 단순 보유,close,3,6,-0.92,-0.12,,,,,,,50.0,,,50.0,,,표본 부족으로 검정 불가
KODEX 200,목요일,같은 길이 단순 보유,close,4,40,-0.48,0.33,-0.57,0.96,7.4,0.1439,55.5,0.9031,52.5,29.9,0.7383,47.5,59.5,0.7483,
KODEX 200,목요일,같은 길이 단순 보유,close,5,238,0.42,0.58,-0.05,0.6,76.4,0.4705,87.8,0.2368,61.76,96.3,0.0669,37.82,3.1,0.0779,
