종목,청산 요일,날짜,주 기준일,청산 목표일,실제 청산일,보유 거래일,진입 종가,청산 종가,수익률(%),제외 사유,만기월
KODEX 200,목요일,2005-09-08,2005-09-08,2005-09-15,2005-09-15,5,14725.0,15120.0,2.68,,9
KODEX 200,목요일,2005-10-13,2005-10-13,2005-10-20,2005-10-20,5,15255.0,14905.0,-2.29,,10
KODEX 200,목요일,2005-11-10,2005-11-10,2005-11-17,2005-11-17,5,15920.0,16305.0,2.42,,11
KODEX 200,목요일,2005-12-08,2005-12-08,2005-12-15,2005-12-15,5,16975.0,17215.0,1.41,,12
KODEX 200,목요일,2006-01-12,2006-01-12,2006-01-19,2006-01-19,5,18330.0,17860.0,-2.56,,1
KODEX 200,목요일,2006-02-09,2006-02-09,2006-02-16,2006-02-16,5,17430.0,17385.0,-0.26,,2
KODEX 200,목요일,2006-03-09,2006-03-09,2006-03-16,2006-03-16,5,17385.0,17560.0,1.01,,3
KODEX 200,목요일,2006-04-13,2006-04-13,2006-04-20,2006-04-20,5,18430.0,18855.0,2.31,,4
KODEX 200,목요일,2006-05-11,2006-05-11,2006-05-18,2006-05-18,5,19090.0,18000.0,-5.71,,5
KODEX 200,목요일,2006-06-08,2006-06-08,2006-06-15,2006-06-15,5,15895.0,15800.0,-0.6,,6
KODEX 200,목요일,2006-07-13,2006-07-13,2006-07-20,2006-07-20,4,16700.0,16670.0,-0.18,,7
KODEX 200,목요일,2006-08-10,2006-08-10,2006-08-17,2006-08-17,4,17175.0,17420.0,1.43,,8
KODEX 200,목요일,2006-09-14,2006-09-14,2006-09-21,2006-09-21,5,17710.0,17885.0,0.99,,9
KODEX 200,목요일,2006-10-12,2006-10-12,2006-10-19,2006-10-19,5,17545.0,17805.0,1.48,,10
KODEX 200,목요일,2006-11-09,2006-11-09,2006-11-16,2006-11-16,5,18250.0,18415.0,0.9,,11
KODEX 200,목요일,2006-12-14,2006-12-14,2006-12-21,2006-12-21,5,18400.0,18770.0,2.01,,12
KODEX 200,목요일,2007-01-11,2007-01-11,2007-01-18,2007-01-18,5,18010.0,18260.0,1.39,,1
KODEX 200,목요일,2007-02-08,2007-02-08,2007-02-15,2007-02-15,5,18780.0,19090.0,1.65,,2
KODEX 200,목요일,2007-03-08,2007-03-08,2007-03-15,2007-03-15,5,18800.0,18790.0,-0.05,,3
KODEX 200,목요일,2007-04-12,2007-04-12,2007-04-19,2007-04-19,5,20100.0,19975.0,-0.62,,4
KODEX 200,목요일,2007-05-10,2007-05-10,2007-05-17,2007-05-17,5,20705.0,20780.0,0.36,,5
KODEX 200,목요일,2007-06-14,2007-06-14,2007-06-21,2007-06-21,5,22355.0,22725.0,1.66,,6
KODEX 200,목요일,2007-07-12,2007-07-12,2007-07-19,2007-07-19,4,24390.0,24750.0,1.48,,7
KODEX 200,목요일,2007-08-09,2007-08-09,2007-08-16,2007-08-16,4,24140.0,21695.0,-10.13,,8
KODEX 200,목요일,2007-09-13,2007-09-13,2007-09-20,2007-09-20,5,23345.0,24190.0,3.62,,9
KODEX 200,목요일,2007-10-11,2007-10-11,2007-10-18,2007-10-18,5,26205.0,25220.0,-3.76,,10
KODEX 200,목요일,2007-11-08,2007-11-08,2007-11-15,2007-11-15,5,24985.0,24600.0,-1.54,,11
KODEX 200,목요일,2007-12-13,2007-12-13,2007-12-20,2007-12-20,4,24350.0,23560.0,-3.24,,12
KODEX 200,목요일,2008-01-10,2008-01-10,2008-01-17,2008-01-17,5,23370.0,22300.0,-4.58,,1
KODEX 200,목요일,2008-02-14,2008-02-14,2008-02-21,2008-02-21,5,21925.0,22090.0,0.75,,2
KODEX 200,목요일,2008-03-13,2008-03-13,2008-03-20,2008-03-20,5,20940.0,21040.0,0.48,,3
KODEX 200,목요일,2008-04-10,2008-04-10,2008-04-17,2008-04-17,5,22920.0,22980.0,0.26,,4
KODEX 200,목요일,2008-05-08,2008-05-08,2008-05-15,2008-05-15,4,23665.0,24280.0,2.6,,5
KODEX 200,목요일,2008-06-12,2008-06-12,2008-06-19,2008-06-19,5,22370.0,22260.0,-0.49,,6
KODEX 200,목요일,2008-07-10,2008-07-10,2008-07-17,2008-07-17,5,19755.0,19650.0,-0.53,,7
KODEX 200,목요일,2008-08-14,2008-08-14,2008-08-21,2008-08-21,4,20315.0,19490.0,-4.06,,8
KODEX 200,목요일,2008-09-11,2008-09-11,2008-09-18,2008-09-18,4,18700.0,17990.0,-3.8,,9
KODEX 200,목요일,2008-10-09,2008-10-09,2008-10-16,2008-10-16,5,16950.0,15745.0,-7.11,,10
KODEX 200,목요일,2008-11-13,2008-11-13,2008-11-20,2008-11-20,5,14200.0,12430.0,-12.46,,11
KODEX 200,목요일,2008-12-11,2008-12-11,2008-12-18,2008-12-18,5,15225.0,15395.0,1.12,,12
KODEX 200,목요일,2009-01-08,2009-01-08,2009-01-15,2009-01-15,5,16020.0,14800.0,-7.62,,1
KODEX 200,목요일,2009-02-12,2009-02-12,2009-02-19,2009-02-19,5,15495.0,14620.0,-5.65,,2
KODEX 200,목요일,2009-03-12,2009-03-12,2009-03-19,2009-03-19,5,14900.0,15410.0,3.42,,3
KODEX 200,목요일,2009-04-09,2009-04-09,2009-04-16,2009-04-16,5,17190.0,17385.0,1.13,,4
KODEX 200,목요일,2009-05-14,2009-05-14,2009-05-21,2009-05-21,5,17730.0,18265.0,3.02,,5
KODEX 200,목요일,2009-06-11,2009-06-11,2009-06-18,2009-06-18,5,18320.0,17660.0,-3.6,,6
KODEX 200,목요일,2009-07-09,2009-07-09,2009-07-16,2009-07-16,5,18620.0,18765.0,0.78,,7
KODEX 200,목요일,2009-08-13,2009-08-13,2009-08-20,2009-08-20,5,20500.0,20620.0,0.59,,8
KODEX 200,목요일,2009-09-10,2009-09-10,2009-09-17,2009-09-17,5,21600.0,22350.0,3.47,,9
KODEX 200,목요일,2009-10-08,2009-10-08,2009-10-15,2009-10-15,5,21225.0,21880.0,3.09,,10
KODEX 200,목요일,2009-11-12,2009-11-12,2009-11-19,2009-11-19,5,20960.0,21570.0,2.91,,11
KODEX 200,목요일,2009-12-10,2009-12-10,2009-12-17,2009-12-17,5,21750.0,21880.0,0.6,,12
KODEX 200,목요일,2010-01-14,2010-01-14,2010-01-21,2010-01-21,5,22570.0,23030.0,2.04,,1
KODEX 200,목요일,2010-02-11,2010-02-11,2010-02-18,2010-02-18,4,21320.0,21680.0,1.69,,2
KODEX 200,목요일,2010-03-11,2010-03-11,2010-03-18,2010-03-18,5,22090.0,22320.0,1.04,,3
KODEX 200,목요일,2010-04-08,2010-04-08,2010-04-15,2010-04-15,5,23185.0,23280.0,0.41,,4
KODEX 200,목요일,2010-05-13,2010-05-13,2010-05-20,2010-05-20,5,22250.0,21020.0,-5.53,,5
KODEX 200,목요일,2010-06-10,2010-06-10,2010-06-17,2010-06-17,5,21730.0,22470.0,3.41,,6
KODEX 200,목요일,2010-07-08,2010-07-08,2010-07-15,2010-07-15,5,22235.0,23015.0,3.51,,7
KODEX 200,목요일,2010-08-12,2010-08-12,2010-08-19,2010-08-19,5,22525.0,23290.0,3.4,,8
KODEX 200,목요일,2010-09-09,2010-09-09,2010-09-16,2010-09-16,5,23305.0,23650.0,1.48,,9
KODEX 200,목요일,2010-10-14,2010-10-14,2010-10-21,2010-10-21,5,24735.0,24320.0,-1.68,,10
KODEX 200,목요일,2010-11-11,2010-11-11,2010-11-18,2010-11-18,5,25400.0,25200.0,-0.79,,11
KODEX 200,목요일,2010-12-09,2010-12-09,2010-12-16,2010-12-16,5,26330.0,26605.0,1.04,,12
KODEX 200,목요일,2011-01-13,2011-01-13,2011-01-20,2011-01-20,5,28040.0,28150.0,0.39,,1
KODEX 200,목요일,2011-02-10,2011-02-10,2011-02-17,2011-02-17,5,27170.0,26595.0,-2.12,,2
KODEX 200,목요일,2011-03-10,2011-03-10,2011-03-17,2011-03-17,5,26635.0,26475.0,-0.6,,3
KODEX 200,목요일,2011-04-14,2011-04-14,2011-04-21,2011-04-21,5,28850.0,29700.0,2.95,,4
KODEX 200,목요일,2011-05-12,2011-05-12,2011-05-19,2011-05-19,5,28200.0,27825.0,-1.33,,5
KODEX 200,목요일,2011-06-09,2011-06-09,2011-06-16,2011-06-16,5,27470.0,27085.0,-1.4,,6
KODEX 200,목요일,2011-07-14,2011-07-14,2011-07-21,2011-07-21,5,27965.0,28185.0,0.79,,7
KODEX 200,목요일,2011-08-11,2011-08-11,2011-08-18,2011-08-18,4,23490.0,23940.0,1.92,,8
KODEX 200,목요일,2011-09-08,2011-09-08,2011-09-15,2011-09-15,3,23865.0,23010.0,-3.58,,9
KODEX 200,목요일,2011-10-13,2011-10-13,2011-10-20,2011-10-20,5,23910.0,23655.0,-1.07,,10
KODEX 200,목요일,2011-11-10,2011-11-10,2011-11-17,2011-11-17,5,23870.0,24645.0,3.25,,11
KODEX 200,목요일,2011-12-08,2011-12-08,2011-12-15,2011-12-15,5,25240.0,23820.0,-5.63,,12
KODEX 200,목요일,2012-01-12,2012-01-12,2012-01-19,2012-01-19,5,24720.0,25590.0,3.52,,1
KODEX 200,목요일,2012-02-09,2012-02-09,2012-02-16,2012-02-16,5,26790.0,26600.0,-0.71,,2
KODEX 200,목요일,2012-03-08,2012-03-08,2012-03-15,2012-03-15,5,26700.0,27390.0,2.58,,3
KODEX 200,목요일,2012-04-12,2012-04-12,2012-04-19,2012-04-19,5,26855.0,27005.0,0.56,,4
KODEX 200,목요일,2012-05-10,2012-05-10,2012-05-17,2012-05-17,5,25945.0,24550.0,-5.38,,5
KODEX 200,목요일,2012-06-14,2012-06-14,2012-06-21,2012-06-21,5,24965.0,25210.0,0.98,,6
KODEX 200,목요일,2012-07-12,2012-07-12,2012-07-19,2012-07-19,5,23675.0,24145.0,1.99,,7
KODEX 200,목요일,2012-08-09,2012-08-09,2012-08-16,2012-08-16,4,25940.0,26120.0,0.69,,8
KODEX 200,목요일,2012-09-13,2012-09-13,2012-09-20,2012-09-20,5,25750.0,26305.0,2.16,,9
KODEX 200,목요일,2012-10-11,2012-10-11,2012-10-18,2012-10-18,5,25360.0,25780.0,1.66,,10
KODEX 200,목요일,2012-11-08,2012-11-08,2012-11-15,2012-11-15,5,25015.0,24510.0,-2.02,,11
KODEX 200,목요일,2012-12-13,2012-12-13,2012-12-20,2012-12-20,4,26500.0,26450.0,-0.19,,12
KODEX 200,목요일,2013-01-10,2013-01-10,2013-01-17,2013-01-17,5,26735.0,26300.0,-1.63,,1
KODEX 200,목요일,2013-02-14,2013-02-14,2013-02-21,2013-02-21,5,26500.0,26955.0,1.72,,2
KODEX 200,목요일,2013-03-14,2013-03-14,2013-03-21,2013-03-21,5,26590.0,25790.0,-3.01,,3
KODEX 200,목요일,2013-04-11,2013-04-11,2013-04-18,2013-04-18,5,25845.0,25000.0,-3.27,,4
KODEX 200,목요일,2013-05-09,2013-05-09,2013-05-16,2013-05-16,5,25765.0,25850.0,0.33,,5
KODEX 200,목요일,2013-06-13,2013-06-13,2013-06-20,2013-06-20,5,24495.0,23980.0,-2.1,,6
KODEX 200,목요일,2013-07-11,2013-07-11,2013-07-18,2013-07-18,5,24380.0,24240.0,-0.57,,7
KODEX 200,목요일,2013-08-08,2013-08-08,2013-08-15,2013-08-14,4,24255.0,24835.0,2.39,,8
KODEX 200,목요일,2013-09-12,2013-09-12,2013-09-19,2013-09-17,3,26125.0,26140.0,0.06,,9
KODEX 200,목요일,2013-10-10,2013-10-10,2013-10-17,2013-10-17,5,26160.0,26950.0,3.02,,10
KODEX 200,목요일,2013-11-14,2013-11-14,2013-11-21,2013-11-21,5,25855.0,26135.0,1.08,,11
KODEX 200,목요일,2013-12-12,2013-12-12,2013-12-19,2013-12-19,5,25965.0,26000.0,0.13,,12
KODEX 200,목요일,2014-01-09,2014-01-09,2014-01-16,2014-01-16,5,25675.0,25790.0,0.45,,1
KODEX 200,목요일,2014-02-13,2014-02-13,2014-02-20,2014-02-20,5,25225.0,25290.0,0.26,,2
KODEX 200,목요일,2014-03-13,2014-03-13,2014-03-20,2014-03-20,5,25360.0,25070.0,-1.14,,3
KODEX 200,목요일,2014-04-10,2014-04-10,2014-04-17,2014-04-17,5,26350.0,26145.0,-0.78,,4
KODEX 200,목요일,2014-05-08,2014-05-08,2014-05-15,2014-05-15,5,25290.0,26165.0,3.46,,5
KODEX 200,목요일,2014-06-12,2014-06-12,2014-06-19,2014-06-19,5,26100.0,25880.0,-0.84,,6
KODEX 200,목요일,2014-07-10,2014-07-10,2014-07-17,2014-07-17,5,25835.0,26110.0,1.06,,7
KODEX 200,목요일,2014-08-14,2014-08-14,2014-08-21,2014-08-21,4,26540.0,26165.0,-1.41,,8
KODEX 200,목요일,2014-09-11,2014-09-11,2014-09-18,2014-09-18,5,26050.0,26160.0,0.42,,9
KODEX 200,목요일,2014-10-08,2014-10-09,2014-10-16,2014-10-16,5,24885.0,24260.0,-2.51,,10
KODEX 200,목요일,2014-11-13,2014-11-13,2014-11-20,2014-11-20,5,24970.0,24880.0,-0.36,,11
KODEX 200,목요일,2014-12-11,2014-12-11,2014-12-18,2014-12-18,5,24610.0,24365.0,-1.0,,12
KODEX 200,목요일,2015-01-08,2015-01-08,2015-01-15,2015-01-15,5,24600.0,24890.0,1.18,,1
KODEX 200,목요일,2015-02-12,2015-02-12,2015-02-19,2015-02-17,3,25050.0,25320.0,1.08,,2
KODEX 200,목요일,2015-03-12,2015-03-12,2015-03-19,2015-03-19,5,25450.0,26175.0,2.85,,3
KODEX 200,목요일,2015-04-09,2015-04-09,2015-04-16,2015-04-16,5,26045.0,27005.0,3.69,,4
KODEX 200,목요일,2015-05-14,2015-05-14,2015-05-21,2015-05-21,5,26300.0,26160.0,-0.53,,5
KODEX 200,목요일,2015-06-11,2015-06-11,2015-06-18,2015-06-18,5,25255.0,24845.0,-1.62,,6
KODEX 200,목요일,2015-07-09,2015-07-09,2015-07-16,2015-07-16,5,24640.0,25065.0,1.72,,7
KODEX 200,목요일,2015-08-13,2015-08-13,2015-08-20,2015-08-20,4,23770.0,23120.0,-2.73,,8
KODEX 200,목요일,2015-09-10,2015-09-10,2015-09-17,2015-09-17,5,23465.0,23940.0,2.02,,9
KODEX 200,목요일,2015-10-08,2015-10-08,2015-10-15,2015-10-15,4,24535.0,24805.0,1.1,,10
KODEX 200,목요일,2015-11-12,2015-11-12,2015-11-19,2015-11-19,5,24590.0,24445.0,-0.59,,11
KODEX 200,목요일,2015-12-10,2015-12-10,2015-12-17,2015-12-17,5,24150.0,24390.0,0.99,,12
KODEX 200,목요일,2016-01-14,2016-01-14,2016-01-21,2016-01-21,5,23535.0,22805.0,-3.1,,1
KODEX 200,목요일,2016-02-11,2016-02-11,2016-02-18,2016-02-18,5,23110.0,23810.0,3.03,,2
KODEX 200,목요일,2016-03-10,2016-03-10,2016-03-17,2016-03-17,5,24585.0,24800.0,0.87,,3
KODEX 200,목요일,2016-04-14,2016-04-14,2016-04-21,2016-04-21,5,25250.0,25290.0,0.16,,4
KODEX 200,목요일,2016-05-12,2016-05-12,2016-05-19,2016-05-19,5,24190.0,23850.0,-1.41,,5
KODEX 200,목요일,2016-06-09,2016-06-09,2016-06-16,2016-06-16,5,24965.0,24075.0,-3.56,,6
KODEX 200,목요일,2016-07-14,2016-07-14,2016-07-21,2016-07-21,5,24880.0,24995.0,0.46,,7
KODEX 200,목요일,2016-08-11,2016-08-11,2016-08-18,2016-08-18,4,25460.0,25700.0,0.94,,8
KODEX 200,목요일,2016-09-08,2016-09-08,2016-09-15,2016-09-13,3,25935.0,25075.0,-3.32,,9
KODEX 200,목요일,2016-10-13,2016-10-13,2016-10-20,2016-10-20,5,25335.0,25735.0,1.58,,10
KODEX 200,목요일,2016-11-10,2016-11-10,2016-11-17,2016-11-17,5,25470.0,25000.0,-1.85,,11
KODEX 200,목요일,2016-12-08,2016-12-08,2016-12-15,2016-12-15,5,26030.0,26075.0,0.17,,12
KODEX 200,목요일,2017-01-12,2017-01-12,2017-01-19,2017-01-19,5,27245.0,27130.0,-0.42,,1
KODEX 200,목요일,2017-02-09,2017-02-09,2017-02-16,2017-02-16,5,27185.0,27245.0,0.22,,2
KODEX 200,목요일,2017-03-09,2017-03-09,2017-03-16,2017-03-16,5,27545.0,28370.0,3.0,,3
KODEX 200,목요일,2017-04-13,2017-04-13,2017-04-20,2017-04-20,5,28340.0,28255.0,-0.3,,4
KODEX 200,목요일,2017-05-11,2017-05-11,2017-05-18,2017-05-18,5,30070.0,29975.0,-0.32,,5
KODEX 200,목요일,2017-06-08,2017-06-08,2017-06-15,2017-06-15,5,30800.0,30770.0,-0.1,,6
KODEX 200,목요일,2017-07-13,2017-07-13,2017-07-20,2017-07-20,5,31815.0,32190.0,1.18,,7
KODEX 200,목요일,2017-08-10,2017-08-10,2017-08-17,2017-08-17,4,30855.0,30920.0,0.21,,8
KODEX 200,목요일,2017-09-14,2017-09-14,2017-09-21,2017-09-21,5,31210.0,31880.0,2.15,,9
KODEX 200,목요일,2017-10-12,2017-10-12,2017-10-19,2017-10-19,5,32825.0,32735.0,-0.27,,10
KODEX 200,목요일,2017-11-09,2017-11-09,2017-11-16,2017-11-16,5,33715.0,33435.0,-0.83,,11
KODEX 200,목요일,2017-12-14,2017-12-14,2017-12-21,2017-12-21,5,32705.0,31975.0,-2.23,,12
KODEX 200,목요일,2018-01-11,2018-01-11,2018-01-18,2018-01-18,5,32955.0,33295.0,1.03,,1
KODEX 200,목요일,2018-02-08,2018-02-08,2018-02-15,2018-02-14,4,31700.0,31855.0,0.49,,2
KODEX 200,목요일,2018-03-08,2018-03-08,2018-03-15,2018-03-15,5,31815.0,32705.0,2.8,,3
KODEX 200,목요일,2018-04-12,2018-04-12,2018-04-19,2018-04-19,5,31755.0,32480.0,2.28,,4
KODEX 200,목요일,2018-05-10,2018-05-10,2018-05-17,2018-05-17,5,31670.0,31495.0,-0.55,,5
KODEX 200,목요일,2018-06-14,2018-06-14,2018-06-21,2018-06-21,5,31145.0,30180.0,-3.1,,6
KODEX 200,목요일,2018-07-12,2018-07-12,2018-07-19,2018-07-19,5,29650.0,29670.0,0.07,,7
KODEX 200,목요일,2018-08-09,2018-08-09,2018-08-16,2018-08-16,4,29750.0,28880.0,-2.92,,8
KODEX 200,목요일,2018-09-13,2018-09-13,2018-09-20,2018-09-20,5,29300.0,29965.0,2.27,,9
KODEX 200,목요일,2018-10-11,2018-10-11,2018-10-18,2018-10-18,5,27720.0,27870.0,0.54,,10
KODEX 200,목요일,2018-11-08,2018-11-08,2018-11-15,2018-11-15,5,27255.0,27155.0,-0.37,,11
KODEX 200,목요일,2018-12-13,2018-12-13,2018-12-20,2018-12-20,5,27015.0,26505.0,-1.89,,12
KODEX 200,목요일,2019-01-10,2019-01-10,2019-01-17,2019-01-17,5,26950.0,27600.0,2.41,,1
KODEX 200,목요일,2019-02-14,2019-02-14,2019-02-21,2019-02-21,5,29215.0,29240.0,0.09,,2
KODEX 200,목요일,2019-03-14,2019-03-14,2019-03-21,2019-03-21,5,28090.0,28640.0,1.96,,3
KODEX 200,목요일,2019-04-11,2019-04-11,2019-04-18,2019-04-18,5,29230.0,29045.0,-0.63,,4
KODEX 200,목요일,2019-05-09,2019-05-09,2019-05-16,2019-05-16,5,27190.0,26615.0,-2.11,,5
KODEX 200,목요일,2019-06-13,2019-06-13,2019-06-20,2019-06-20,5,27015.0,27595.0,2.15,,6
KODEX 200,목요일,2019-07-11,2019-07-11,2019-07-18,2019-07-18,5,27305.0,27165.0,-0.51,,7
KODEX 200,목요일,2019-08-08,2019-08-08,2019-08-15,2019-08-14,4,25365.0,25500.0,0.53,,8
KODEX 200,목요일,2019-09-11,2019-09-12,2019-09-19,2019-09-19,4,27085.0,27490.0,1.5,,9
KODEX 200,목요일,2019-10-10,2019-10-10,2019-10-17,2019-10-17,5,27045.0,27615.0,2.11,,10
KODEX 200,목요일,2019-11-14,2019-11-14,2019-11-21,2019-11-21,5,28370.0,27830.0,-1.9,,11
KODEX 200,목요일,2019-12-12,2019-12-12,2019-12-19,2019-12-19,5,28605.0,29465.0,3.01,,12
KODEX 200,목요일,2020-01-09,2020-01-09,2020-01-16,2020-01-16,5,29830.0,30660.0,2.78,,1
KODEX 200,목요일,2020-02-13,2020-02-13,2020-02-20,2020-02-20,5,30465.0,30040.0,-1.4,,2
KODEX 200,목요일,2020-03-12,2020-03-12,2020-03-19,2020-03-19,5,25180.0,20240.0,-19.62,,3
KODEX 200,목요일,2020-04-09,2020-04-09,2020-04-16,2020-04-16,4,24950.0,25160.0,0.84,,4
KODEX 200,목요일,2020-05-14,2020-05-14,2020-05-21,2020-05-21,5,25315.0,26375.0,4.19,,5
KODEX 200,목요일,2020-06-11,2020-06-11,2020-06-18,2020-06-18,5,28700.0,28180.0,-1.81,,6
KODEX 200,목요일,2020-07-09,2020-07-09,2020-07-16,2020-07-16,5,28815.0,29005.0,0.66,,7
KODEX 200,목요일,2020-08-13,2020-08-13,2020-08-20,2020-08-20,4,32260.0,30160.0,-6.51,,8
KODEX 200,목요일,2020-09-10,2020-09-10,2020-09-17,2020-09-17,5,31625.0,31715.0,0.28,,9
KODEX 200,목요일,2020-10-08,2020-10-08,2020-10-15,2020-10-15,4,31810.0,31415.0,-1.24,,10
KODEX 200,목요일,2020-11-12,2020-11-12,2020-11-19,2020-11-19,5,32940.0,33995.0,3.2,,11
KODEX 200,목요일,2020-12-10,2020-12-10,2020-12-17,2020-12-17,5,36905.0,37200.0,0.8,,12
KODEX 200,목요일,2021-01-14,2021-01-14,2021-01-21,2021-01-21,5,43505.0,43530.0,0.06,,1
KODEX 200,목요일,2021-02-10,2021-02-11,2021-02-18,2021-02-18,4,42680.0,42410.0,-0.63,,2
KODEX 200,목요일,2021-03-11,2021-03-11,2021-03-18,2021-03-18,5,41815.0,42300.0,1.16,,3
KODEX 200,목요일,2021-04-08,2021-04-08,2021-04-15,2021-04-15,5,43255.0,43880.0,1.44,,4
KODEX 200,목요일,2021-05-13,2021-05-13,2021-05-20,2021-05-20,4,41665.0,42235.0,1.37,,5
KODEX 200,목요일,2021-06-10,2021-06-10,2021-06-17,2021-06-17,5,42930.0,43340.0,0.96,,6
KODEX 200,목요일,2021-07-08,2021-07-08,2021-07-15,2021-07-15,5,43260.0,43695.0,1.01,,7
KODEX 200,목요일,2021-08-12,2021-08-12,2021-08-19,2021-08-19,4,42345.0,40540.0,-4.26,,8
KODEX 200,목요일,2021-09-09,2021-09-09,2021-09-16,2021-09-16,5,40725.0,40965.0,0.59,,9
KODEX 200,목요일,2021-10-14,2021-10-14,2021-10-21,2021-10-21,5,39020.0,39380.0,0.92,,10
KODEX 200,목요일,2021-11-11,2021-11-11,2021-11-18,2021-11-18,5,38625.0,38760.0,0.35,,11
KODEX 200,목요일,2021-12-09,2021-12-09,2021-12-16,2021-12-16,5,39925.0,39750.0,-0.44,,12
KODEX 200,목요일,2022-01-13,2022-01-13,2022-01-20,2022-01-20,5,39720.0,38465.0,-3.16,,1
KODEX 200,목요일,2022-02-10,2022-02-10,2022-02-17,2022-02-17,5,37590.0,37415.0,-0.47,,2
KODEX 200,목요일,2022-03-10,2022-03-10,2022-03-17,2022-03-17,5,36020.0,36585.0,1.57,,3
KODEX 200,목요일,2022-04-14,2022-04-14,2022-04-21,2022-04-21,5,36235.0,36385.0,0.41,,4
KODEX 200,목요일,2022-05-12,2022-05-12,2022-05-19,2022-05-19,5,33805.0,34370.0,1.67,,5
KODEX 200,목요일,2022-06-09,2022-06-09,2022-06-16,2022-06-16,5,34565.0,32265.0,-6.65,,6
KODEX 200,목요일,2022-07-14,2022-07-14,2022-07-21,2022-07-21,5,30710.0,32055.0,4.38,,7
KODEX 200,목요일,2022-08-11,2022-08-11,2022-08-18,2022-08-18,4,33000.0,32915.0,-0.26,,8
KODEX 200,목요일,2022-09-08,2022-09-08,2022-09-15,2022-09-15,3,30930.0,31100.0,0.55,,9
KODEX 200,목요일,2022-10-13,2022-10-13,2022-10-20,2022-10-20,5,28365.0,28925.0,1.97,,10
KODEX 200,목요일,2022-11-10,2022-11-10,2022-11-17,2022-11-17,5,31145.0,31795.0,2.09,,11
KODEX 200,목요일,2022-12-08,2022-12-08,2022-12-15,2022-12-15,5,30870.0,30840.0,-0.1,,12
KODEX 200,목요일,2023-01-12,2023-01-12,2023-01-19,2023-01-19,5,31615.0,31835.0,0.7,,1
KODEX 200,목요일,2023-02-09,2023-02-09,2023-02-16,2023-02-16,5,32840.0,32775.0,-0.2,,2
KODEX 200,목요일,2023-03-09,2023-03-09,2023-03-16,2023-03-16,5,31775.0,31220.0,-1.75,,3
KODEX 200,목요일,2023-04-13,2023-04-13,2023-04-20,2023-04-20,5,33745.0,33750.0,0.01,,4
KODEX 200,목요일,2023-05-11,2023-05-11,2023-05-18,2023-05-18,5,32575.0,33020.0,1.37,,5
KODEX 200,목요일,2023-06-08,2023-06-08,2023-06-15,2023-06-15,5,34275.0,34380.0,0.31,,6
KODEX 200,목요일,2023-07-13,2023-07-13,2023-07-20,2023-07-20,5,34335.0,34350.0,0.04,,7
KODEX 200,목요일,2023-08-10,2023-08-10,2023-08-17,2023-08-17,4,34105.0,33085.0,-2.99,,8
KODEX 200,목요일,2023-09-14,2023-09-14,2023-09-21,2023-09-21,5,34150.0,33320.0,-2.43,,9
KODEX 200,목요일,2023-10-12,2023-10-12,2023-10-19,2023-10-19,5,33060.0,32430.0,-1.91,,10
KODEX 200,목요일,2023-11-09,2023-11-09,2023-11-16,2023-11-16,5,32660.0,33470.0,2.48,,11
KODEX 200,목요일,2023-12-14,2023-12-14,2023-12-21,2023-12-21,5,34170.0,34940.0,2.25,,12
KODEX 200,목요일,2024-01-11,2024-01-11,2024-01-18,2024-01-18,5,34400.0,33075.0,-3.85,,1
KODEX 200,목요일,2024-02-08,2024-02-08,2024-02-15,2024-02-15,3,35490.0,35385.0,-0.3,,2
KODEX 200,목요일,2024-03-14,2024-03-14,2024-03-21,2024-03-21,5,36985.0,37715.0,1.97,,3
KODEX 200,목요일,2024-04-11,2024-04-11,2024-04-18,2024-04-18,5,37560.0,36405.0,-3.08,,4
KODEX 200,목요일,2024-05-09,2024-05-09,2024-05-16,2024-05-16,4,37040.0,37590.0,1.48,,5
KODEX 200,목요일,2024-06-13,2024-06-13,2024-06-20,2024-06-20,5,37530.0,38560.0,2.74,,6
KODEX 200,목요일,2024-07-11,2024-07-11,2024-07-18,2024-07-18,5,39980.0,39085.0,-2.24,,7
KODEX 200,목요일,2024-08-08,2024-08-08,2024-08-15,2024-08-14,4,34700.0,36035.0,3.85,,8
KODEX 200,목요일,2024-09-12,2024-09-12,2024-09-19,2024-09-19,2,34415.0,34430.0,0.04,,9
KODEX 200,목요일,2024-10-10,2024-10-10,2024-10-17,2024-10-17,5,34685.0,35025.0,0.98,,10
KODEX 200,목요일,2024-11-14,2024-11-14,2024-11-21,2024-11-21,5,31855.0,33050.0,3.75,,11
KODEX 200,목요일,2024-12-12,2024-12-12,2024-12-19,2024-12-19,5,32970.0,32330.0,-1.94,,12
KODEX 200,목요일,2025-01-09,2025-01-09,2025-01-16,2025-01-16,5,33685.0,33760.0,0.22,,1
KODEX 200,목요일,2025-02-13,2025-02-13,2025-02-20,2025-02-20,5,34195.0,35270.0,3.14,,2
KODEX 200,목요일,2025-03-13,2025-03-13,2025-03-20,2025-03-20,5,34190.0,35675.0,4.34,,3
KODEX 200,목요일,2025-04-10,2025-04-10,2025-04-17,2025-04-17,5,32920.0,33160.0,0.73,,4
KODEX 200,목요일,2025-05-08,2025-05-08,2025-05-15,2025-05-15,5,34270.0,35035.0,2.23,,5
KODEX 200,목요일,2025-06-12,2025-06-12,2025-06-19,2025-06-19,5,39195.0,40080.0,2.26,,6
